Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid
Cercis canadensis,Cercis canadensis,,1,Accepted,Cercis canadensis,,Fabaceae,tpl, ,
Chenopodium album,Chenopodium album,,1,Accepted,Chenopodium album,L.,Amaranthaceae,tpl;usda;tropicos, ,
Chenopodium sp.,Chenopodium,,0.9,Accepted,Chenopodium,,Amaranthaceae,tpl, ,
Chrysanthemum leucanthemum,Chrysanthemum leucanthemum,,1,Synonym,Leucanthemum vulgare,(Vaill.) Lam.,Asteraceae,gcc, ,urn:lsid:compositae.org:names:0547E050-E16B-4B8A-AB14-EA90D1AD85EF
Circaea lutetiana,Circaea lutetiana,,1,Accepted,Circaea lutetiana,L.,Onagraceae,tpl;usda;tropicos, ,
Circaea lutetiana canadensis,Circaea lutetiana subsp. canadensis,,0.96,Accepted,Circaea lutetiana subsp. canadensis,(L.) Asch. & Magnus,Onagraceae,tpl, ,
Cirsium arvense,Cirsium arvense,,1,Accepted,Cirsium arvense,,Asteraceae,tpl, ,
Cirsium sp.,Cirsium,,0.9,Accepted,Cirsium,,Asteraceae,tpl;usda, ,
Cirsium vulgare,Cirsium vulgare,,1,Accepted,Cirsium vulgare,(Savi) Ten.,Asteraceae,gcc;usda;tropicos, ,urn:lsid:compositae.org:names:5501F500-AAE6-4DE1-B349-46F2509573C1
Cladastris kentukea,Cladrastis kentukea,,0.96,Accepted,Cladrastis kentukea,(Dum.Cours.)Rudd,Fabaceae,ildis, ,
Claytonia virginica,Claytonia virginica,,1,Accepted,Claytonia virginica,L.,Montiaceae,tpl;usda;tropicos, ,
Clematis virginiana,Clematis virginiana,,1,Accepted,Clematis virginiana,L.,Ranunculaceae,tpl;usda;tropicos, ,
Composite,No suitable matches found.,,0,,,,,, ,
Composite sp.,No suitable matches found.,,0,,,,,, ,
Convolvulus sepium,Convolvulus sepium,,1,Synonym,Calystegia sepium,(L.) R. Br.,Convolvulaceae,tpl, ,
Convolvulus sp.,Convolvulus,,0.9,Accepted,Convolvulus,,Convolvulaceae,tpl;usda, ,
Convovulus sp.,Convolvulus,,0.87,Accepted,Convolvulus,,Convolvulaceae,tpl;usda, ,
Coreopsis tripteris,Coreopsis tripteris,,1,Accepted,Coreopsis tripteris,L.,Asteraceae,gcc;usda;tropicos, ,urn:lsid:compositae.org:names:D07C8E1C-1750-47DB-A1D1-52A536A2D0E2
Cornus racemosa,Cornus racemosa,,1,Accepted,Cornus racemosa,Lam.,Cornaceae,tpl;usda;tropicos, ,
Cornus sp.,Cornus,,0.9,Accepted,Cornus,,Cornaceae,tpl, ,
Coronilla varia,Coronilla varia,,1,Synonym,Securigera varia,(L.)Lassen,Fabaceae,ildis, ,
Crataegus sp.,Crataegus,,0.9,Accepted,Crataegus,,Rosaceae,tpl;usda, ,
Cryptotaenia canadensis,Cryptotaenia canadensis,,1,Accepted,Cryptotaenia canadensis,(L.) DC.,Apiaceae,tpl;usda;tropicos, ,
Cystopteris protrusa,Cystopteris protrusa,,1,Accepted,Cystopteris protrusa,(Weath.) Blasdell,Cystopteridaceae,tpl;usda;tropicos, ,
Dactylis glomerata,Dactylis glomerata,,1,Accepted,Dactylis glomerata,L.,Poaceae,tpl;usda;tropicos, ,
Daucus carota,Daucus carota,,1,Accepted,Daucus carota,L.,Apiaceae,tpl;usda;tropicos, ,
Dicentra cucullaria,Dicentra cucullaria,,1,Accepted,Dicentra cucullaria,(L.) Bernh.,Papaveraceae,tpl;usda;tropicos, ,
Dipsacus fullonum,Dipsacus fullonum,,1,Accepted,Dipsacus fullonum,L.,Caprifoliaceae,tpl;usda;tropicos, ,
Dipsacus laciniatus,Dipsacus laciniatus,,1,Accepted,Dipsacus laciniatus,L.,Caprifoliaceae,tpl;usda;tropicos, ,
Dipsacus sylvestris,Dipsacus sylvestris,,1,Synonym,Dipsacus fullonum,L.,Caprifoliaceae,tpl;usda;tropicos, ,
Dodecatheon meadia,Dodecatheon meadia,,1,Accepted,Dodecatheon meadia,L.,Primulaceae,tpl;usda;tropicos, ,
Ellisia nyctelea,Ellisia nyctelea,,1,Accepted,Ellisia nyctelea,(L.) L.,Boraginaceae,tpl;usda;tropicos, ,
Elmus hystrix,Elymus hystrix,,0.97,Synonym,Elymus elymoides,(Raf.) Swezey,Poaceae,tpl, [Ambiguous match] ,
Elymus hystrix,Elymus hystrix,,1,Synonym,Elymus elymoides,(Raf.) Swezey,Poaceae,tpl, [Ambiguous match] ,
Elymus sp.,Elymus,,0.9,Accepted,Elymus,,Poaceae,tpl;usda, ,
Elymus villosus,Elymus villosus,,1,Accepted,Elymus villosus,Muhl. ex Willd.,Poaceae,tpl;usda;tropicos, ,
Elymus virginicus,Elymus virginicus,,1,Accepted,Elymus virginicus,L.,Poaceae,tpl;usda;tropicos, ,
Enemion biternatum,Enemion biternatum,,1,Accepted,Enemion biternatum,(Torr. & A.Gray) Raf.,Ranunculaceae,tpl, ,
Epilobium coloratum,Epilobium coloratum,,1,Accepted,Epilobium coloratum,Biehler,Onagraceae,tpl;usda;tropicos, ,
Equisetum arvense,Equisetum arvense,,1,Accepted,Equisetum arvense,L.,Equisetaceae,tpl;usda;tropicos, ,
Erigeron annuus,Erigeron annuus,,1,Accepted,Erigeron annuus,(L.) Desf.,Asteraceae,gcc, ,urn:lsid:compositae.org:names:E79F4735-6B70-4FA4-B590-060AB192A895
Erigeron philadelphicus,Erigeron philadelphicus,,1,Accepted,Erigeron philadelphicus,L.,Asteraceae,gcc;usda;tropicos, ,urn:lsid:compositae.org:names:71C46651-4FCA-4CD4-BE9D-C9EAFE03455E
Erigeron sp.,Erigeron,,0.9,Accepted,Erigeron,,Asteraceae,tpl;usda, ,
Erythronium albidum,Erythronium albidum,,1,Accepted,Erythronium albidum,Nutt.,Liliaceae,tpl;usda;tropicos, ,
Euonymus alatus,Euonymus alatus,,1,Accepted,Euonymus alatus,(Thunb.) Siebold,Celastraceae,tpl;usda;tropicos, ,
Euonymus europaeus,Euonymus europaeus,,1,Accepted,Euonymus europaeus,L.,Celastraceae,tpl;usda;tropicos, ,
Euonymus sp.,Euonymus,,0.9,Accepted,Euonymus,,Celastraceae,tpl, ,
Eupatorium purpureum,Eupatorium purpureum,,1,Accepted,Eupatorium purpureum,L.,Asteraceae,gcc, ,urn:lsid:compositae.org:names:CD691DD6-8EF3-4FCB-A6E3-DDFF47D0A6B8
Eupatorium rugosum,Eupatorium rugosum,,1,Synonym,Ageratina altissima,(L.) R.M.King & H.Rob.,Asteraceae,gcc, ,urn:lsid:compositae.org:names:7012A206-803B-402D-A008-440403B9B5ED
Eupatorium sp.,Eupatorium,,0.9,Accepted,Eupatorium,,Asteraceae,tpl, ,
Festuca elatior,Festuca elatior,,1,Synonym,Festuca arundinacea,Schreb.,Poaceae,tpl, [Ambiguous match] ,
Floerkea proserpinacoides,Floerkea proserpinacoides,,1,Accepted,Floerkea proserpinacoides,Willd.,Limnanthaceae,tpl;usda;tropicos, ,
Fragaria virginiana,Fragaria virginiana,,1,Accepted,Fragaria virginiana,Mill.,Rosaceae,tpl;tropicos, ,
Fraxinus,Fraxinus,,1,Accepted,Fraxinus,,Oleaceae,tpl;usda, ,
Fraxinus americana,Fraxinus americana,,1,Accepted,Fraxinus americana,L.,Oleaceae,tpl;usda;tropicos, ,
Fraxinus pennsylvanica,Fraxinus pennsylvanica,,1,Accepted,Fraxinus pennsylvanica,Marshall,Oleaceae,tpl;usda;tropicos, ,
Fraxinus quadrangulata,Fraxinus quadrangulata,,1,Accepted,Fraxinus quadrangulata,Michx.,Oleaceae,tpl;usda;tropicos, ,
Fraxinus sp.,Fraxinus,,0.9,Accepted,Fraxinus,,Oleaceae,tpl;usda, ,
Galium aparine,Galium aparine,,1,Accepted,Galium aparine,L.,Rubiaceae,tpl;usda;tropicos, ,
Galium circaezans,Galium circaezans,,1,Accepted,Galium circaezans,Michx.,Rubiaceae,tpl;usda;tropicos, ,
Galium sp.,Galium,,0.9,Accepted,Galium,,Rubiaceae,tpl, ,
Galium triflorum,Galium triflorum,,1,Accepted,Galium triflorum,Michx.,Rubiaceae,tpl;usda;tropicos, ,
Geranium maculatum,Geranium maculatum,,1,Accepted,Geranium maculatum,L.,Geraniaceae,tpl;usda;tropicos, ,
Germaniun maculatum,Geranium maculatum,,0.95,Accepted,Geranium maculatum,L.,Geraniaceae,tpl;usda;tropicos, ,
Geum canadense,Geum canadense,,1,Accepted,Geum canadense,Jacq.,Rosaceae,tpl;usda;tropicos, ,
Geum sp.,Geum,,0.9,Accepted,Geum,,Rosaceae,tpl;usda, ,
Glechoma hederacea,Glechoma hederacea,,1,Accepted,Glechoma hederacea,L.,Lamiaceae,tpl;usda;tropicos, ,
Gleditsia triacanthos,Gleditsia triacanthos,,1,No opinion,,,,tpl, ,
Glyceria striata,Glyceria striata,,1,Accepted,Glyceria striata,(Lam.) Hitchc.,Poaceae,tpl;usda;tropicos, ,
Gymnocladus dioica,Gymnocladus dioica,,1,Accepted,Gymnocladus dioica,(L.)K.Koch,Fabaceae,ildis, ,
Gymnocladus dioicus,Gymnocladus dioicus,,1,Synonym,Gymnocladus dioica,(L.)K.Koch,Fabaceae,ildis, ,
Hackelia virginiana,Hackelia virginiana,,1,Accepted,Hackelia virginiana,(L.) I.M. Johnst.,Boraginaceae,tpl;usda;tropicos, ,
Hairy weed,No suitable matches found.,,0,,,,,, ,
Helenium autumnale,Helenium autumnale,,1,Accepted,Helenium autumnale,L.,Asteraceae,gcc;usda;tropicos, ,urn:lsid:compositae.org:names:AC4E4C0F-F8B9-440D-B9C1-79E22216D6E1
Helianthus grosseserratus,Helianthus grosseserratus,,1,Accepted,Helianthus grosseserratus,M.Martens,Asteraceae,gcc, ,urn:lsid:compositae.org:names:1BB05916-1F44-408A-88AF-CCD46C498DAF
Helianthus sp.,Helianthus,,0.9,No opinion,,,,tpl, ,
Hepatica acutiloba,Hepatica acutiloba,,1,Synonym,Anemone hepatica var. acuta,(Pursh) Pritz.,Ranunculaceae,tpl, ,
Hesperis matronalis,Hesperis matronalis,,1,Accepted,Hesperis matronalis,L.,Brassicaceae,tpl;usda;tropicos, ,
Hydrophyllum appendiculatum,Hydrophyllum appendiculatum,,1,Accepted,Hydrophyllum appendiculatum,Michx.,Boraginaceae,tpl;usda;tropicos, ,
Hydrophyllum sp.,Hydrophyllum,,0.9,Accepted,Hydrophyllum,,Boraginaceae,tpl;usda, ,
Hydrophyllum virginianum,Hydrophyllum virginianum,,1,Accepted,Hydrophyllum virginianum,L.,Boraginaceae,tpl;usda;tropicos, ,
Hystrix patula,Hystrix patula,,1,Accepted,Hystrix patula,Moench,Poaceae,tpl, ,
Impatiens capensis,Impatiens capensis,,1,Accepted,Impatiens capensis,Meerb.,Balsaminaceae,tpl;usda;tropicos, ,
Impatiens sp.,Impatiens,,0.9,Accepted,Impatiens,,Balsaminaceae,tpl;usda, ,
Impatients sp.,Impatiens,,0.86,Accepted,Impatiens,,Balsaminaceae,tpl;usda, ,
Juglans nigra,Juglans nigra,,1,Accepted,Juglans nigra,L.,Juglandaceae,tpl;usda;tropicos, ,
Juncus sp.,Juncus,,0.9,Accepted,Juncus,,Juncaceae,tpl, ,
Juniperus virginiana,Juniperus virginiana,,1,Accepted,Juniperus virginiana,L.,Cupressaceae,tpl;usda;tropicos, ,
Lactuca canadensis,Lactuca canadensis,,1,Accepted,Lactuca canadensis,L.,Asteraceae,gcc;usda;tropicos, ,urn:lsid:compositae.org:names:78EA1369-45E2-4BF6-A890-0112E5399CCC
Lactuca sp.,Lactuca,,0.9,No opinion,,,,tpl, ,
Laportea canadensis,Laportea canadensis,,1,Accepted,Laportea canadensis,(L.) Wedd.,Urticaceae,tpl, ,
Ligusticum sp.,Ligusticum,,0.9,Accepted,Ligusticum,,Apiaceae,tpl;usda, ,
Liriodendron tulipifera,Liriodendron tulipifera,,1,Accepted,Liriodendron tulipifera,L.,Magnoliaceae,tpl;usda;tropicos, ,
lonicera maackii,Lonicera maackii,,1,Accepted,Lonicera maackii,(Rupr.) Maxim.,Caprifoliaceae,tpl;tropicos, ,
Lonicera maackii,Lonicera maackii,,1,Accepted,Lonicera maackii,(Rupr.) Maxim.,Caprifoliaceae,tpl;tropicos, ,
Lonicera prolifera,Lonicera prolifera,,1,Accepted,Lonicera prolifera,(Kirchner) Booth ex Rehder,Caprifoliaceae,tpl;tropicos, ,
Lonicera sp.,Lonicera,,0.9,Accepted,Lonicera,,Caprifoliaceae,tpl, ,
Lonicera tatarica,Lonicera tatarica,,1,Accepted,Lonicera tatarica,L.,Caprifoliaceae,tpl;usda;tropicos, ,
Lysimachia ciliata,Lysimachia ciliata,,1,Accepted,Lysimachia ciliata,L.,Primulaceae,tpl;usda;tropicos, ,
Lythrum alatum,Lythrum alatum,,1,Accepted,Lythrum alatum,Pursh,Lythraceae,tpl;usda;tropicos, ,
Maianthemum racemosum,Maianthemum racemosum,,1,Accepted,Maianthemum racemosum,(L.) Link,Asparagaceae,tpl;usda;tropicos, ,
MAIRAC,Marah,,0.6,Accepted,Marah,,Cucurbitaceae,tpl;usda, ,
Malus sieboldii,Malus sieboldii,,1,Accepted,Malus sieboldii,(Regel) Rehder,Rosaceae,tpl;tropicos, ,
Malus sp.,Malus,,0.9,Accepted,Malus,,Rosaceae,tpl;usda, ,
Menispermum canadense,Menispermum canadense,,1,Accepted,Menispermum canadense,L.,Menispermaceae,tpl;usda;tropicos, ,
Menispermum sp.,Menispermum,,0.9,Accepted,Menispermum,,Menispermaceae,tpl, ,
Mertensia virginica,Mertensia virginica,,1,Accepted,Mertensia virginica,(L.) Pers. ex Link,Boraginaceae,tpl;usda;tropicos, ,
Monarda fistulosa,Monarda fistulosa,,1,Accepted,Monarda fistulosa,L.,Lamiaceae,tpl;usda;tropicos, ,
Morus alba,Morus alba,,1,Accepted,Morus alba,L.,Moraceae,tpl;usda;tropicos, ,
Morus sp.,Morus,,0.9,Accepted,Morus,,Moraceae,tpl, ,
No data,No suitable matches found.,,0,,,,,, ,
No trees,No suitable matches found.,,0,,,,,, ,
No Trees,No suitable matches found.,,0,,,,,, ,
Onoclea sensibilis,Onoclea sensibilis,,1,Accepted,Onoclea sensibilis,L.,Onocleaceae,tpl;usda;tropicos, ,
Osm. Sp.,Osa,,0.5,Accepted,Osa,,Rubiaceae,tpl, ,
Osmorhiza claytoniana,Osmorhiza,,0.5,Accepted,Osmorhiza,,Apiaceae,tpl;usda, [Partial match] ,
Osmorhiza claytonii,Osmorhiza claytonii,,1,Synonym,Osmorhiza aristata var. aristata,,Apiaceae,tpl, ,
Osmorhiza sp.,Osmorhiza,,0.9,Accepted,Osmorhiza,,Apiaceae,tpl;usda, ,
Ostrya virginiana,Ostrya virginiana,,1,Accepted,Ostrya virginiana,(Mill.) K.Koch,Betulaceae,tpl, ,
Oxalis sp.,Oxalis,,0.9,Accepted,Oxalis,,Oxalidaceae,tpl, ,
Oxalis stricta,Oxalis stricta,,1,Accepted,Oxalis stricta,L.,Oxalidaceae,tpl;usda;tropicos, ,
Parthenocissus quinquefolia,Parthenocissus quinquefolia,,1,Accepted,Parthenocissus quinquefolia,(L.) Planch.,Vitaceae,tpl;usda;tropicos, ,
Parthenocissus sp.,Parthenocissus,,0.9,Accepted,Parthenocissus,,Vitaceae,tpl;usda, ,
Pastinaca sativa,Pastinaca sativa,,1,Accepted,Pastinaca sativa,L.,Apiaceae,tpl;usda;tropicos, ,
Persicaria coccinea,Persicaria coccinea,,1,Synonym,Persicaria amphibia,(L.) Delarbre,Polygonaceae,tpl, ,
Phalaris arundinacea,Phalaris arundinacea,,1,Accepted,Phalaris arundinacea,L.,Poaceae,tpl;usda;tropicos, ,
Phellodendron amurense,Phellodendron amurense,,1,Accepted,Phellodendron amurense,Rupr.,Rutaceae,tpl;usda;tropicos, ,
Phlox divaricata,Phlox divaricata,,1,Accepted,Phlox divaricata,L.,Polemoniaceae,tpl;usda;tropicos, ,
PHRCAN,Phaca,,0.6,Accepted,Phaca,,Fabaceae,tpl, ,
Phryma leptostachya,Phryma leptostachya,,1,Accepted,Phryma leptostachya,L.,Phrymaceae,tpl;usda;tropicos, ,
Phytolacca americana,Phytolacca americana,,1,Accepted,Phytolacca americana,L.,Phytolaccaceae,tpl;usda;tropicos, ,
Picea abies,Picea abies,,1,Accepted,Picea abies,(L.) H.Karst.,Pinaceae,tpl, ,
Pilea pumila,Pilea pumila,,1,Accepted,Pilea pumila,(L.) A. Gray,Urticaceae,tpl;usda;tropicos, ,
Pinus resinosa,Pinus resinosa,,1,Accepted,Pinus resinosa,Aiton,Pinaceae,tpl;usda, ,
Pinus sp.,Pinus,,0.9,Accepted,Pinus,,Pinaceae,tpl, ,
Plantago lanceolata,Plantago lanceolata,,1,Accepted,Plantago lanceolata,L.,Plantaginaceae,tpl;usda;tropicos, ,
Poa compressa,Poa compressa,,1,Accepted,Poa compressa,L.,Poaceae,tpl;usda;tropicos, ,
Poa pratensis,Poa pratensis,,1,Accepted,Poa pratensis,L.,Poaceae,tpl;usda;tropicos, ,
