Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid
Helianthus divaricatus,Helianthus divaricatus,,1,Accepted,Helianthus divaricatus,L.,Asteraceae,gcc;usda;tropicos, ,urn:lsid:compositae.org:names:878D00B3-C22A-4191-81E3-1A7A7341E08E
Helianthus species,Helianthus,,0.9,No opinion,,,,tpl, ,
Helianthus strumosus,Helianthus strumosus,,1,Accepted,Helianthus strumosus,L.,Asteraceae,gcc;usda, ,urn:lsid:compositae.org:names:30CC4D06-1E1F-4DEB-8716-31A869A82FA9
Hepatica acutiloba,Hepatica acutiloba,,1,Synonym,Anemone hepatica var. acuta,(Pursh) Pritz.,Ranunculaceae,tpl, ,
Hickory species,Hickorea,,0.67,No opinion,,,,tropicos, ,
Hydrastis canadensis,Hydrastis canadensis,,1,Accepted,Hydrastis canadensis,L.,Ranunculaceae,tpl;usda;tropicos, ,
Hydrophyllum virginianum,Hydrophyllum virginianum,,1,Accepted,Hydrophyllum virginianum,L.,Boraginaceae,tpl;usda;tropicos, ,
Hystrix patula,Hystrix patula,,1,Accepted,Hystrix patula,Moench,Poaceae,tpl, ,
Impatiens capensis,Impatiens capensis,,1,Accepted,Impatiens capensis,Meerb.,Balsaminaceae,tpl;usda;tropicos, ,
Impatiens pallida,Impatiens pallida,,1,Accepted,Impatiens pallida,Nutt.,Balsaminaceae,tpl;usda;tropicos, ,
Impatiens species,Impatiens,,0.9,Accepted,Impatiens,,Balsaminaceae,tpl;usda, ,
Isopyrum biternatum,Isopyrum biternatum,,1,Synonym,Enemion biternatum,(Torr. & A.Gray) Raf.,Ranunculaceae,tpl, ,
Juglans cinerea,Juglans cinerea,,1,Accepted,Juglans cinerea,L.,Juglandaceae,tpl;usda;tropicos, ,
Juglans nigra,Juglans nigra,,1,Accepted,Juglans nigra,L.,Juglandaceae,tpl;usda;tropicos, ,
Juncus dudleyi,Juncus dudleyi,,1,Accepted,Juncus dudleyi,Wiegand,Juncaceae,tpl;usda;tropicos, ,
Juniperus virginiana,Juniperus virginiana,,1,Accepted,Juniperus virginiana,L.,Cupressaceae,tpl;usda;tropicos, ,
Lactuca canadensis,Lactuca canadensis,,1,Accepted,Lactuca canadensis,L.,Asteraceae,gcc;usda;tropicos, ,urn:lsid:compositae.org:names:78EA1369-45E2-4BF6-A890-0112E5399CCC
Lactuca floridana,Lactuca floridana,,1,Accepted,Lactuca floridana,(L.) Gaertn.,Asteraceae,gcc;usda;tropicos, ,urn:lsid:compositae.org:names:BA9168D6-6A21-4BB5-B420-9BCB28FD9471
Lactuca serriola,Lactuca serriola,,1,Accepted,Lactuca serriola,L.,Asteraceae,gcc;usda;tropicos, ,urn:lsid:compositae.org:names:5F860FC7-C156-4EBB-BB51-BA5CA4AC1989
Lactuca species,Lactuca,,0.9,No opinion,,,,tpl, ,
Leersia oryzoides,Leersia oryzoides,,1,Accepted,Leersia oryzoides,(L.) Sw.,Poaceae,tpl;usda;tropicos, ,
Leersia virginica,Leersia virginica,,1,Accepted,Leersia virginica,Willd.,Poaceae,tpl;usda;tropicos, ,
Ligustrum species,Ligustrum,,0.9,Accepted,Ligustrum,,Oleaceae,tpl, ,
Liriodendron tulipifera,Liriodendron tulipifera,,1,Accepted,Liriodendron tulipifera,L.,Magnoliaceae,tpl;usda;tropicos, ,
Lonicera maackii,Lonicera maackii,,1,Accepted,Lonicera maackii,(Rupr.) Maxim.,Caprifoliaceae,tpl;tropicos, ,
Lonicera prolifera,Lonicera prolifera,,1,Accepted,Lonicera prolifera,(Kirchner) Booth ex Rehder,Caprifoliaceae,tpl;tropicos, ,
Lonicera species,Lonicera,,0.9,Accepted,Lonicera,,Caprifoliaceae,tpl, ,
Lonicera tatarica,Lonicera tatarica,,1,Accepted,Lonicera tatarica,L.,Caprifoliaceae,tpl;usda;tropicos, ,
Lycopus americanus,Lycopus americanus,,1,Accepted,Lycopus americanus,Muhl. ex W.P.C.Barton,Lamiaceae,tpl, ,
Maclura pomifera,Maclura pomifera,,1,Accepted,Maclura pomifera,(Raf.) C.K.Schneid.,Moraceae,tpl, ,
Malus species,Malus,,0.9,Accepted,Malus,,Rosaceae,tpl;usda, ,
Melilotus alba,Melilotus alba,,1,Synonym,Melilotus officinalis subsp. alba,(Medik.)H.Ohashi & Tateishi,Fabaceae,ildis, [Ambiguous match] ,
Melilotus officinalis,Melilotus officinalis,,1,No opinion,,,,tpl, ,
Menispermum canadense,Menispermum canadense,,1,Accepted,Menispermum canadense,L.,Menispermaceae,tpl;usda;tropicos, ,
Mint species,Mina,,0.67,No opinion,,,,tpl, ,
Monarda fistulosa,Monarda fistulosa,,1,Accepted,Monarda fistulosa,L.,Lamiaceae,tpl;usda;tropicos, ,
Morus alba,Morus alba,,1,Accepted,Morus alba,L.,Moraceae,tpl;usda;tropicos, ,
Morus rubra,Morus rubra,,1,Accepted,Morus rubra,L.,Moraceae,tpl;usda;tropicos, ,
NONE,Nonea,,0.86,Accepted,Nonea,,Boraginaceae,tpl;usda, ,
Onoclea sensibilis,Onoclea sensibilis,,1,Accepted,Onoclea sensibilis,L.,Onocleaceae,tpl;usda;tropicos, ,
Osmorhiza longistylis,Osmorhiza longistylis,,1,Accepted,Osmorhiza longistylis,(Torr.) DC.,Apiaceae,tpl;usda;tropicos, ,
Osmunda claytoniana,Osmunda claytoniana,,1,Accepted,Osmunda claytoniana,L.,Osmundaceae,tpl;usda;tropicos, ,
Ostrya virginiana,Ostrya virginiana,,1,Accepted,Ostrya virginiana,(Mill.) K.Koch,Betulaceae,tpl, ,
Oxalis europaea,Oxalis europaea,,1,Synonym,Oxalis stricta,L.,Oxalidaceae,tpl;usda;tropicos, ,
Oxalis stricta,Oxalis stricta,,1,Accepted,Oxalis stricta,L.,Oxalidaceae,tpl;usda;tropicos, ,
Panicum implicatum,Panicum implicatum,,1,Synonym,Panicum acuminatum,Sw.,Poaceae,tpl, ,
Panicum species,Panicum,,0.9,Accepted,Panicum,,Poaceae,tpl;usda, ,
Panicum spretum,Panicum spretum,,1,Synonym,Panicum acuminatum,Sw.,Poaceae,tpl, ,
Parthenocissus quinquefolia,Parthenocissus quinquefolia,,1,Accepted,Parthenocissus quinquefolia,(L.) Planch.,Vitaceae,tpl;usda;tropicos, ,
Pastinaca sativa,Pastinaca sativa,,1,Accepted,Pastinaca sativa,L.,Apiaceae,tpl;usda;tropicos, ,
Phalaris arundinacea,Phalaris arundinacea,,1,Accepted,Phalaris arundinacea,L.,Poaceae,tpl;usda;tropicos, ,
Phleum pratense,Phleum pratense,,1,Accepted,Phleum pratense,L.,Poaceae,tpl;usda;tropicos, ,
Phryma leptostachya,Phryma leptostachya,,1,Accepted,Phryma leptostachya,L.,Phrymaceae,tpl;usda;tropicos, ,
Physalis species,Physalis,,0.9,Accepted,Physalis,,Solanaceae,tpl, ,
Physalis virginiana,Physalis virginiana,,1,Accepted,Physalis virginiana,Mill.,Solanaceae,tpl;usda;tropicos, ,
Phytolacca americana,Phytolacca americana,,1,Accepted,Phytolacca americana,L.,Phytolaccaceae,tpl;usda;tropicos, ,
Picea species,Picea,,0.9,Accepted,Picea,,Pinaceae,tpl;usda, ,
Pilea pumila,Pilea pumila,,1,Accepted,Pilea pumila,(L.) A. Gray,Urticaceae,tpl;usda;tropicos, ,
Pinus banksiana,Pinus banksiana,,1,Accepted,Pinus banksiana,Lamb.,Pinaceae,tpl;usda;tropicos, ,
Pinus resinosa,Pinus resinosa,,1,Accepted,Pinus resinosa,Aiton,Pinaceae,tpl;usda, ,
Plantago lanceolata,Plantago lanceolata,,1,Accepted,Plantago lanceolata,L.,Plantaginaceae,tpl;usda;tropicos, ,
Plantago rugelii,Plantago rugelii,,1,Accepted,Plantago rugelii,Decne.,Plantaginaceae,tpl;usda;tropicos, ,
Poa pratensis,Poa pratensis,,1,Accepted,Poa pratensis,L.,Poaceae,tpl;usda;tropicos, ,
Poa species,Poa,,0.9,Accepted,Poa,,Poaceae,tpl;usda, ,
Podophyllum peltatum,Podophyllum peltatum,,1,Accepted,Podophyllum peltatum,L.,Berberidaceae,tpl;usda;tropicos, ,
Polemonium reptans,Polemonium reptans,,1,Accepted,Polemonium reptans,L.,Polemoniaceae,tpl;usda;tropicos, ,
Polygonatum canaliculatum,Polygonatum canaliculatum,,1,Synonym,Polygonatum biflorum,(Walter) Elliott,Asparagaceae,tpl, [Ambiguous match] ,
Polygonum lapathifolium,Polygonum lapathifolium,,1,Synonym,Persicaria lapathifolia,(L.) Delarbre,Polygonaceae,tpl, ,
Polygonum punctatum,Polygonum punctatum,,1,Synonym,Persicaria punctata,(Elliott) Small,Polygonaceae,tpl, ,
Polygonum species,Polygonum,,0.9,Accepted,Polygonum,,Polygonaceae,tpl, ,
Polygonum virginianum,Polygonum virginianum,,1,Accepted,Polygonum virginianum,L.,Polygonaceae,tpl;usda;tropicos, ,
Polypodium virginianum,Polypodium virginianum,,1,Accepted,Polypodium virginianum,L.,Polypodiaceae,tpl;usda;tropicos, ,
Populus alba,Populus alba,,1,Accepted,Populus alba,L.,Salicaceae,tpl;usda;tropicos, ,
Populus deltoides,Populus deltoides,,1,Accepted,Populus deltoides,Marshall,Salicaceae,tpl, ,
Populus grandidentata,Populus grandidentata,,1,Accepted,Populus grandidentata,Michx.,Salicaceae,tpl;usda;tropicos, ,
Populus species,Populus,,0.9,Accepted,Populus,,Salicaceae,tpl, ,
Potentilla norvegica,Potentilla norvegica,,1,Accepted,Potentilla norvegica,L.,Rosaceae,tpl;usda;tropicos, ,
Potentilla recta,Potentilla recta,,1,Accepted,Potentilla recta,L.,Rosaceae,tpl;usda;tropicos, ,
Potentilla simplex,Potentilla simplex,,1,Accepted,Potentilla simplex,Michx.,Rosaceae,tpl;usda;tropicos, ,
Prenanthes alba,Prenanthes alba,,1,Synonym,Nabalus albus,(L.) Hook.,Asteraceae,gcc, ,urn:lsid:compositae.org:names:51B513BC-2DE0-44D7-BB79-D5D87E1DC1E3
Prenanthes species,Prenanthes,,0.9,No opinion,,,,tpl, ,
Prunella vulgaris,Prunella vulgaris,,1,Accepted,Prunella vulgaris,L.,Lamiaceae,tpl;usda;tropicos, ,
Prunella vulgaris lanceolata,Prunella vulgaris subsp. lanceolata,,0.96,Accepted,Prunella vulgaris subsp. lanceolata,(W.P.C.Barton) Piper & Beattie,Lamiaceae,tpl, ,
Prunus americana,Prunus americana,,1,Accepted,Prunus americana,Marshall,Rosaceae,tpl;usda;tropicos, ,
Prunus serotina,Prunus serotina,,1,Accepted,Prunus serotina,Ehrh.,Rosaceae,tpl;usda;tropicos, ,
Prunus species,Prunus,,0.9,Accepted,Prunus,,Rosaceae,tpl, ,
Prunus virginiana,Prunus virginiana,,1,Accepted,Prunus virginiana,L.,Rosaceae,tpl;usda;tropicos, ,
Pseudotsuga menziesii,Pseudotsuga menziesii,,1,Accepted,Pseudotsuga menziesii,(Mirb.) Franco,Pinaceae,tpl;usda;tropicos, ,
Ptelea trifoliata,Ptelea trifoliata,,1,Accepted,Ptelea trifoliata,L.,Rutaceae,tpl;usda;tropicos, ,
Quercus alba,Quercus alba,,1,Accepted,Quercus alba,L.,Fagaceae,tpl;usda;tropicos, ,
Quercus bicolor,Quercus bicolor,,1,Accepted,Quercus bicolor,Willd.,Fagaceae,tpl;usda;tropicos, ,
Quercus coccinea,Quercus coccinea,,1,Accepted,Quercus coccinea,MŸnchh.,Fagaceae,tpl;usda;tropicos, ,
Quercus macrocarpa,Quercus macrocarpa,,1,Accepted,Quercus macrocarpa,Michx.,Fagaceae,tpl;usda;tropicos, ,
Quercus palustris,Quercus palustris,,1,Accepted,Quercus palustris,MŸnchh.,Fagaceae,tpl;usda;tropicos, ,
Quercus rubra,Quercus rubra,,1,Accepted,Quercus rubra,L.,Fagaceae,tpl;usda;tropicos, ,
Quercus species,Quercus,,0.9,Accepted,Quercus,,Fagaceae,tpl, ,
Ranunculus abortivus,Ranunculus abortivus,,1,Accepted,Ranunculus abortivus,L.,Ranunculaceae,tpl;usda;tropicos, ,
Ranunculus hispidus,Ranunculus hispidus,,1,Accepted,Ranunculus hispidus,Michx.,Ranunculaceae,tpl;usda;tropicos, ,
Ranunculus pensylvanicus,Ranunculus pensylvanicus,,1,Accepted,Ranunculus pensylvanicus,L. f.,Ranunculaceae,tpl;usda;tropicos, ,
Ranunculus species,Ranunculus,,0.9,Accepted,Ranunculus,,Ranunculaceae,tpl;usda, ,
Ratibida pinnata,Ratibida pinnata,,1,Accepted,Ratibida pinnata,(Vent.) Barnhart,Asteraceae,gcc;usda;tropicos, ,urn:lsid:compositae.org:names:1264B8E7-89E2-44D7-8E91-719554DC535F
Rhamnus carthartica,Rhamnus cathartica,,0.99,Accepted,Rhamnus cathartica,L.,Rhamnaceae,tpl;usda;tropicos, ,
Rhamnus cathartica,Rhamnus cathartica,,1,Accepted,Rhamnus cathartica,L.,Rhamnaceae,tpl;usda;tropicos, ,
Rhamnus frangula,Rhamnus frangula,,1,Synonym,Frangula alnus,Mill.,Rhamnaceae,tpl, ,
Rhamnus species,Rhamnus,,0.9,Accepted,Rhamnus,,Rhamnaceae,tpl, ,
Rhus glabra,Rhus glabra,,1,Accepted,Rhus glabra,L.,Anacardiaceae,tpl;usda;tropicos, ,
Rhus radicans,Rhus radicans,,1,Synonym,Toxicodendron radicans,(L.) Kuntze,Anacardiaceae,tpl;tropicos, ,
Rhus typhina,Rhus typhina,,1,Accepted,Rhus typhina,L.,Anacardiaceae,tpl;usda;tropicos, ,
