	common	name	genus	species
	alsike	clover	(Trifolium	hybridum)
	bird's-foot	trefoil	(Lotus	corniculatus)
	black	mustard	(Brassica	nigra)
	blackberry	lily	(Belamcanda	chinensis)
	bladder	campion	(Silene	cucubalus)
	bouncing	bet	(Saponaria	officinalis)
	buckhorn	plaintain	(Plantago	lanceolata)
	Canada	thistle	(Cirsium	arvense)
	carpet	bugleweed	(Ajuga	reptans)
	catnip		(Nepeta	cataria)
	chicory		(Cichorium	intybus)
	common	dandelion	(Taraxacum	officinale)
	common	forget-me-not	(Myosotis	scorpioides)
	common	goat's-beard	(Tragopogon	pratensis)
	common	periwinkle	(Vinca	minor)
	common	reed	(Phragmites	australis)
common	St.	John’s-wort	(Hypericum	perforatum)
	common	teasel	(Dipsacus	fullonum)
	common	yarrow	(Achillea	millefolium)
	cow	vetch	(Vicia	cracca)
	crown	vetch	(Securigera	varia)
	curly	dock	(Rumex	crispus)
	cut-leaved	teasel	(Dipsacus	laciniatus)
	Deptford	pink	(Dianthus	armeria)
	garlic	mustard	(Alliaria	petiolata)
	gill-over-the-ground		(Glechoma	hederacea)
	golden	buttons	(Tanacetum	vulgare)
	hedge	mustard	(Sisymbrium	officinale)
	hedge	parsley	(Torilis	japonica)
	Japanese	knotweed	(Reynoutria	japonica)
	Johnson	grass	(Sorghum	halepense)
	musk	thistle	(Carduus	nutans)
orange	day	lily	(Hemerocallis	fulva)
	orchard	grass	(Dactylis	glomerata)
	ox-eye	daisy	(Leucanthemum	vulgare)
	parsnip		(Pastinaca	sativa)
	purple	loosestrife	(Lythrum	salicaria)
	purple	rocket	(Hesperis	matronalis)
Queen	Anne's	lace	(Daucus	carota)
	red	clover	(Trifolium	pratense)
	salsify		(Tragopogon	porrifolius)
	sand	goat's-beard	(Tragopogon	dubius)
	sericea	lespedeza	(Lespedeza	cuneata)
	spotted	knapweed	(Centaurea	biebersteinii)
	sulfur	cinquefoil	(Potentilla	recta)
	timothy		(Phleum	pratense)
	white	loosestrife	(Lysimachia	clethroides)
white	sweet	clover	(Melilotus	albus)
	winter	vetch	(Vicia	villosa)
	woolly	mullein	(Verbascum	thapsus)
	yellow	iris	(Iris	pseudacorus)
yellow	sweet	clover	(Melilotus	officinalis)
	yellow	rocket	(Barbarea	vulgaris)
Amur	cork	tree	(Phellodendron	amurense)
	Amur	honeysuckle	(Lonicera	maackii)
	Amur	maple	(Acer	ginnala)
	autumn	olive	(Elaeagnus	umbellata)
	black	locust	(Robinia	pseudoacacia)
	common	buckthorn	(Rhamnus	cathartica)
	common	privet	(Ligustrum	vulgare)
	glossy	buckthorn	(Frangula	alnus)
	Japanese	barberry	(Berberis	thunbergii)
	jetbead		(Rhodotypos	scandens)
	loblolly	pine	(Pinus	taeda)
	multiflora	rose	(Rosa	multiflora)
	Osage	orange	(Maclura	pomifera)
	paper	mulberry	(Broussonetia	papyrifera)
	princess	tree	(Paulownia	tomentosa)
	Scots	pine	(Pinus	sylvestris)
	Siberian	elm	(Ulmus	pumila)
	strawberry	shrub	(Calycanthus	floridus)
	tree-of-heaven		(Ailanthus	altissima)
	winged	Euonymus	(Euonymus	alatus)
	Chinese	yam	(Dioscorea	oppositifolia)
	English	ivy	(Hedera	helix)
	Japanese	honeysuckle	(Lonicera	japonica)
	kudzu-vine		(Pueraria	lobata)
	Oriental	bittersweet	(Celastrus	orbiculatus)
wintercreeper	climbing	Euonymus	(Euonymus	fortunei)
